text,label
"@moneydriven I see a picture of you smoking, such a man of god. Disgraceful nig, you sir, are an embarrassment.",1
&#8220;@MaRAtheeMODEL: Hoe fax = type yo bitch number in google to see if it pops up on back pagEthank @HeartOfAHustlah&#8221; &#128514;&#128557;&#128514;&#128557;,0
I hate bitches that have attitudes all the time,0
RT @damnlifepics: just a little closer bitch http://t.co/QWUFY11CrQ,0
CleanUp bitch i just got off the phone with em!,0
Ugh I fuckin hate when this bitch don't answer my calls ewwwwwww @Hi__________Bye,0
"under my windoowww &#8220;@brettcanfly: Bleaching your teeth, smiling flash, talking trash, under your breath&#8221;",0
@rachaelkbrown @BillyButlerKC @Oreo unexplainable!,0
Im in mickey ds and he gone ask for a double cheese burger wit no cheese!!! #FOH,0
@TheShoeBible @Steamed_Greens Them hoes are clean!,0
"@leighvl Niggas probably be watching me like ""Look at this Uncle Tom ass Rasta""",1
It's throw it in her throat thursdays so make a ghetto gaggler out of her,0
RT @TasteMyGayness: Sharing is not caring .... Back tf up bitch,0
Why these thirsty bitches trying to hit me up slide out of my kik lmfaoo &#128514;,0
Theres one dude i can not stand at my school because he stays on the freshman girls and girls from other schools cause none fw him. #bitch,0
RT @ObeyKingKelvin: &#8220;@MellyDaKing_: Just gotta remind bae you got no hoes http://t.co/TfcInxlqhV&#8221;&#128514;,0
What if I talked ghetto lol I'd be so annoyed of my self,0
"RT @TroyMadden: If I see a bitch walking around wearing what Rihanna had on ima grab a titty and hoe I dare you to get mad, we can fight ab&#8230;",0
Call of duty out this bitch,0
&#8220;@HeyKeifer: Oreos are basically dirt circles with cream.&#8221; True.,0
"RT @cthagod: You know my motto ""It Ain't Tricking If She's Worth It"" but fuck first, trick later depending on the potency of the pussy.",0
Then bitches gon fuck just because money long .,0
"RT @chvmpagne: I can't stand you ""I don't text first"" ass bitches.",0
RT @GoatRapLines: When Wale said.....nvm that nigga trash,0
@KoiyaThePerv exactly so tweet some other shit fuck all that don't be like everybody this ain't monkey see monkey do koiya,0
RT @the_ironsheik: My #tbt I learn the English from that jabroni big bird but I break his fucking neck http://t.co/vDpIq8Zuxo http://t.co/4&#8230;,0
"Omg chloe just pulled up to my house like ""come outside bitch"" &#128514;&#128514;&#128514;&#128514; hella cray",0
"@_SoulSurvivor_ @zakbauer I dont have any problems with zak, but you seem like a faggot http://t.co/NbFAArxvRP",1
These bitches want the next best thing,0
@FuckTheMallcops @theharris338 @MrMooncricket @BobbyBotsods @JimTalbot1963 @UncleUnco aids fuck? Smdh u punk bitch.,0
"RT @macktology101: Niggas got a girl, why the fuck you asking girls to text you...hoes man hoes",0
Fine chicks lap dances always trash,0
All the bitches happy maybe one of his female friends can find him a bitvj,0
Some call it trickn i call it hangn out ima handle my business n knock dat pussy out &#128049;&#128166;&#127814;,0
RT @2Live_Que: So y'all just gone look past the fact that this bitch sucking a dick cause her edges laid? I swear hate you bitches &#128530; http:/&#8230;,0
"@Liveitupjersey @BellaaFoxx I hope so, the bitch was annoying! I think, she thought she was smart or something!",0
#uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk!,0
"RT @RonONealDC: Lmaooooooo RT @basedamERICan: ""Ayo take this pic for me fam""""You think the bitches gon fuck with this pic?"" http://t.co/k&#8230;",0
"@alexiscarfield Thought to myself SHEEBA-SHEEBA, got my ass lookin' like a zebra!",0
Vanessa is such a fuckin faggot.,1
Make your first impression with me the best or like Nino Brown ima cancel that bitch,0
Why did you release my nudes you cunt...? @sickgirl12345 http://t.co/Nn4OdiZR8l,0
"@kieffer_jason bitch cause u wanted to fight and you didn't show up, and tryna make a bet and shit get yo friendly ass off My Twitter",0
"RT @tnicolle_rauzi: We always bitch about the opposite sex when we're equally just as scandalous. Not all, but a large sum. Hypocrisy at it&#8230;",0
"Fuckin' moron, snortin' oxycontin, wearin' cotton, oxymoron, like buff faggots playin' sissy dikes",0
"@SoTrippyWhit right! These bitches be like ""damn I hope I get this job at Target"" BITCH DO BETTER!!! Still livin with ya momma ass hoe",0
"Its too early for all this bullshit, fuck all yall hoes lmfao",0
RT @macktology101: You hoes getting outta hand http://t.co/jZ2WRvaXaI,0
Women can't do something called live life.Apparently that's being a hoe.,0
RT @IcySoleOnline: Should of been a cork sole RT @Johnny_Blaz3: why is there no cork on the WTL XI?,0
"RT @KillAllSimps: Bitches see a picture of a couple walking on the stairs together and caption it ""Goals &#128525;&#128588;"", bitch all they doing is going&#8230;",0
He called me just to say he was deleting my number.... bitch please.,0
RT @ChristineKKTV: Great weather to hit up the slopes this weekend... @Arapahoe_Basin &amp; @LovelandSkiArea open Saturday! #COwx #skiseason ht&#8230;,0
I got hoes in different area codes,0
Still wit the Same bitches to the death of me&#128553;,0
&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,0
RT @Lmao: When I make the paper ball into the trash can. &#128240;&#127936;&#128168; http://t.co/VjeGtjEP3X,0
@CayMarieee bitch you NOT either bye &#128514;,0
"RT @KILLSheredon: I can't handle no liquor, but these bitches can't handle me.",0
RT @_illionaire: @VoiceOfDStreetz hahahaha signs be funny than a bitch,0
The browns schedule for the first half of the year is literally retarded easy.,0
lmaoooooo RT @WestsideAllure: Dude said bitches from NY fuck to Redman's greatest hits &#128557;&#128557;&#128557;,0
They are mostly restaurants. I'm a fat ho. RT @ImJustCeej: If you have more than 20 contacts in your phone you a hoe,0
Yall know Skip Bayless is about to slit his wrists over Romo! Lol,0
i dont think women should wear flesh tone colored pants... lol,0
RT @iamdjsituation: If I got time to hold my phone the whole time we having sex. Yo pussy Trash,0
@BarackObama Biden was a winner last night? Yea right like Charlie Sheen Really was a a winner too.... #winning lol,0
RT @judiebaby_: @Vnxthny ATTENTION !!! Keshonna Alexander had the best pussy in the world. Taste good asf&#128523;&#128523;&#128525;&#128536;&#128079;&#128588;&#128514;&#128514;&#128514;&#128553;&#128540;&#128523;&#128523;&#128525;&#128525;,0
@NikkiGentry843 just wait....karma is a #bitch,0
@SethMacFarlane Deep in my pussy were your tongue should be. Dial 911 if you need halp.,0
"Word RT @Maxin_Betha: And pussy RT @HumbltonBanks And snacks RT @Aerin_Marie: Ladies, keep beer (cont) http://t.co/ssb5ERhd",0
"RT @Adolfhibsta: First off, you just a hoe if you can have sex with a man &amp; not have any feelings for him",0
RT @GuysPIctures: Once bitches get the D... http://t.co/deWE9ttUz5,0
@DeliaParedez @rikki_lovee @GabrielaAngela4 @StephyRae7 @TheOneMiss_Luu @Ramona_Pilar I'm coming bitches.,0
"Jamaica populated with island hillbillies. Even linguistics are kind of the same, if you sub the accent. Olde English derivatives.",0
Whos pussy is it she said richie's,0
Imma limit my association with these grade f bitches next year on my life just gone be me and a few ppl don't got time for the BS frfr,0
"RT @FactsAboutPigs: Pigs drink up to 14 gallons of water every day, but they still aren't as thirsty as some of you hoes.",0
"@The_Red_Sea @shetheTRUTHtho say that shit to my face ""Bruh"" you a bitch for gettin in a man u dont know business. Handle yo own shit",1
Including ya size hoe !,0
You a lame ass nigga still cuffin these hoes my bitch got a bitch with er,1
RT @jjauthor: US ghettos-driven by lib ideology;forged by unions&amp;bankrupted by self-serving Ds catering 2parasites! #tcot http://t.co/Ee2L5&#8230;,0
@HBMostDope: @1Jayee @PipinHoes used to send that bitch up,0
Looking forward to #NCAA and #NBA basketball &#127936; in the states soon #iubb #hoosiers #pacers #PacerNation and of course breadsticks.,0
Is Wayne Brady gonna have to choke a bitch?,0
RT @hippiescrub: egg avi in my mentions with 0 followers pussy bo dont want war .,0
RT @Persianboi10: #YesAllMen these hoes ain't loyal,0
"Just spoke w/ @HispanicLinkNS legend, mentor Charlie Ericksen. Great to catch up w/ those who helped open doors for Latino journos #thankful",0
RT @Yennno_Nay: Now a days bitches will beef w/ you over something that has nothing to do w/ them &#128514;&#128514;&#128514;&#128514;&#128128; bitch yo ugly ass wasn't a factor a&#8230;,0
"I feel like this hoe owe me something ..,",0
RT @MrRideThruThaD: Let me tell u funky bitches bout a pimp name c. I ain't payin for no pussy and my dick ain't free,0
Jax a hoe!,0
&#8220;@miilkkk: On a scale of 1-10 this bitch is literally a 6 http://t.co/A3rMyfNUS4&#8221;hahaha,0
RT @_kivnaaa: @VivaLaKash &#128514;&#128514;&#128514; on God i be thinking that . lol people at school be showing me this nigguh videos . im like &#128563; he famous oss &#128514;,0
@miquelpaniscus @ArcusGreatApes @graspunep The person actually holding the ape is NOT Paris. It's her sister,0
RT @Smug_Lemur: He loves me *eats a brownie* He loves me not *eats a brownie*,0
LRG ass nigguh,1
"Some black people live in an entirely different world where everything is peaches and cream, apparently. Take off the rose colored glasses.",0
"Talk alot of shit, but if I want ill put u on the spot so don't test me bitch!",0
Fuck all these dirty hoes these bitches basic,0
RT @TAXSTONE: These bitches will set you up the moment you stop fucking with them and they mad,0
There's apparently a wee cunt who's a year younger than me called Sean brown being cheeky about me lol,0
@isaabbellla yo nig your a cheeseball.,0
I hate when black people try and be white so bad ... Your a nigger,1
"#RadioFreeNorthwest 218Covington reads responses &amp; mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchenhttp://t.co/t9JyhAncPR",0
@_dimejii i know so. What Samklef said wasn't a lie man. This guy think is a beast in Naija Pop. His music is trash not the wizkid of before,0
"RT @07Cannon: ""Fuck you mean Macklemore trash nigger?"" http://t.co/NXPjPrhsbu",0
Ok this is funny... A proud liberal who wants to end racism calls Tim Scott an Uncle Tom Lolz lib idiots #tcot http://t.co/y6X6eagw20,0
RT @Heart_LessGirI: It amazes me how simple it is for girls to be insane bitches when it'd be just as easy for them to be normal &amp; sane. Ge&#8230;,0
You not playing me bitch I know wassup,0
"Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an	1
Why u being such a little bitch chris you ain't six bitch"" - Allisons Mom",0
RT @Fewjr: &#8220;@1MarKus_A: Pau a hoe. How u gon play after the trade deadline&#8221; I dislike that guy. Yea he helped bring two chips but he soft A&#8230;,0
@Soldier1eaODGrn I don't give a flying fuck what a teabagger piece of human garbage like you thinks =),1
RT @LiveAndUncut: It's a lot easier to let go of a girl if you find out she's been giving the pussy out like goodie bags at a birthday bash.,0
RT @Now_Thats_Fresh: Hoes love exposing other hoes on twitter,0
RT @dreaF_: &#8220;@VoiceOfDStreetz: Ross got Amber Rose naked these hoes ain't loyal wiz&#8221; that ain't Amber Rose tho,0
It's only 9:12 AM here but I'm about to pour up some pineapple ciroc &amp; blast this Future mixtape at maximum levels because bitch Im in Vegas,0
RT @jfkirtley: Reds haven't lost a series at Yankee Stadium since 1961 World Series #76 #08 #12,0
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #BBW | Brazilian BBW Babe Drilled in pussy and ass http://t.co/Z7ksrFpmz9",0
RT @ryancruz_: &#8220;@1waynostra: So jus don't be faithful cus u never kno what your bitch doing lmao&#8221;&#128514;&#128514;&#128514;&#128128;&#128128;&#128128;&#128553;&#128553;&#128514;&#128514;&#128128;&#128128;&#128128;&#128514;&#128553;&#128128;&#128128;&#128128;&#128514;&#128514;&#128128;&#128128;&#128128;&#128514;&#128514;&#128553;,0
Yeah I have acne but I still pull hotter bitches than you (-:,0
"RT @Dipset_Kenn: RT @ToneThaMan55: RT @PAPER_CHAYSIN: I love money fuc a bitch I won't stress myself , and I keep my mouth closed cuz I can&#8230;",0
The only exception with the baby momma is she not stuck on you and ghetto bitch that I will stomp her ass like an African ritual,0
RT @TAXSTONE: Shout out to all them bitches who don't own no designer shit and still look better than all YALL bitches with everything desi&#8230;,0
RT @caseytu88662466: Y these niggas on this hoe shit,0
I'm tryna turn M's to B's innis bitch and I ain't never paid to be wit no bitch!,0
@asdfgheatherr no not tonight you're gonna hoe tomorrow,0
RT @tiaramescudi: I hate when bitter bitches try to take away someone's happiness.,0
@neeishaaa one thing about it baby I will NEVER Call a bitch phone bout a nigga. Ion know what app somebody playing with but it AINT ME,0
RT @TrxllLegend: One good girl is worth a thousand bitches&#128112; = &#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#128109;&#8230;,0
@vj44 umm how about they are at home raising kids? You are retarded.,0
@BrotherDiabeats take your queer ass dubstep out of here,0
I'm going to be an ugly niggah for Halloween so I can just be myself.,0
@gurl_Im_Angie: @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu kikis mom: Hi angelique Angelique: Smiles *Dips cracker in soup*,0
RT @Mymangot2JOBS_: WHO IS SHE? Ill fight her bestie RT @VeronicaGK: Then this bitch in my class wanna copy my homework off blackboard disc&#8230;,0
RT @thecoreyholcomb: No man has ever aborted a baby even if he have her $ on it. Abortion bitches will soon meet god &amp; they baby to face th&#8230;,0
@Ese_Miro bitch please &#9995;,0
RT @HumanX86: #2013Faves RT @DgDynasty @88TilEternity @HumanX86 @LakeshoreJohnny I ain&#8217;t tryna see @VertrellCarter nigger legs in a bikini &#128562;,0
The guys at LA fitness are such fags &#128514;&#128557;,0
"I can't express how much I hate sam, he is by far hands down no questions asked my least favorite character , so bitch made #freaksandgeeks",0
@KenSuttling Yankees beat then in the Grapefruit league the other day.,0
RT @lordemusic: i am so pleased and proud to have been announced the sole curator of the soundtrack for MOCKINGJAY - PART 1,0
If anyone ever gets an attitude or w e with me idgaf who it is I am going to be a bitch right back &#128076;&#128076;,0
"RT @Yankees: VICTORY! #Yankees outlast A's, 10-9 in 14 innings. Eduardo Nunez the hero, and oh yeah, FIRST PLACE still resides in the Bronx.",0
"@TheRealSaigon What are you gonna do? I'ma chase you out the club, like mobb deep did to you, pussy.",0
@44BINKO ima act like I hit that hoe then pass it like I was earlier,0
I drive by and them bitches waive but girl I can't stop,0
@deadlygilinsky drug buddy pussy money bitches weed,0
RT @RobIsRandomAF_6: &#128514;&#128514;&#128514;&#128514;&#128514;This bitch came to the club with a broken neck? Bitch you serious? https://t.co/D4bpFhPj6x,0
RT @LouieVRee: Just cause i liked a photo from 32 weeks ago don't mean i'm stalking you bitch you just don't look as good as you used to,0
"RT @Allan_Son: I got gatorades, Twinkies, rice puddings, Pringles, and cookies &#128525;&#128555;",0
Tickets hoe http://t.co/lPCS9Abo7W,0
Regular joes rockin tha boat that's us redneck yacht clubbb&#9728;&#127926;,0
RT @chillvitooo: &#8220;@__KillSwitch: Nigga damn &#128556;&#128563; https://t.co/m7gExESuag&#8221;LMFAO Dej Loaf got all these bitches getting TRYED&#128557;&#128557;&#128557;&#128557;&#128557;,0
im weeaboo trash,0
Idk how bitches trust other bitches sooo easily. I still have the same friends.,0
I knows y'all white folk only be playin wit me. I colored and I knows my place,1
I hate when hoes try to play the wifey roll,0
Thats bad when your bestfriend says yu act like a hoe Cx,0
@sbsylvester @hunterbuch66 @kieffer_jason y'all some pussy ass niggas,0
I wish Young Thug made past me the hookah and kept garbage ass tyga out that bitch,0
"RT @AGRIcouture: Wow RT @RingkledSuccess: Lmao RT ""@badgalcash: bet not ever come to my house again dirty bitch http://t.co/Qv1rUzGsfJ""",0
Don't make me take yo bitch nigga &#128527;&#128080;,0
I can't entertain these hoes or these broke niggas,0
"If you don't know what yo bitch doing tuat ain't you bitch, Im just sayin.",0
Mother Nature hates the Yankees and baseball,0
When a real niggah want you,0
@karlina_marie your pussy not mine &#128514; do you &#128526;,0
Nigga just had them crackers on a chase.,1
Yankee homeruns make me all tingly.,0
guy complains to me: #gays are over-sensitive... my response: and look at you complaining like little pussy. waahh waahh #hypocrite,1
"RT @FaZeDedo: To the rejects who constantly call my house and are threatening to rape my mom, karma's a bitch. Rot in hell, faggots.",1
Feelin like I can have any bitch I want. Feelin like all these hoes in this bitch want me.,0
@poak_ he was no more a cunt with a shitty attitude than Apex or Pamaj or Banks.,0
"@NicoleJeanxoxo @A_Mitchellll13 hahahaha ""move bitch get out the wayyyeee""",0
got a bitch so bad you can't afford to fuck,0
"@JimmyMcIver @jerrilyn71 @Doc_68W_ Just like ""FAT CHICKS NEED LOVE TOO"" I guess. Some Jeffrey Dommer Type would be all over that sloppy ho.",0
Video: Charlie Baker makes final push for votes http://t.co/9ArtP5ymbS,0
"RT @Yankees: Congrats to Derek Jeter, who will start at shortstop in his 14th and final All-Star Game! #FarewellCaptain http://t.co/5nhtJOx&#8230;",0
@_JaelynBeeee somebody looks like the die on the first tubes on flappy bird lol!,0
RT @SortaBad: A boy won the Scripps Spelling Bee by spelling 'knaidel'. Used in a sentence: I'll never get any pussy because I know how to &#8230;,0
"RT @SarcasmLeague: Back in elementary school, when you were line leader, everybody else was your bitch.",0
RT @BigxCool: RT if you're on the slope to 30 and still feel 17,0
It's hot and my allergies are killing &#128553; I feel like a little bitch &#128514;,0
*pops that pussy for singles*,0
"Uh Cody called me a punk ass bitch and I said, I think you meant to say boss ass bitch but I'll let it go ctfu &#128514;",0
"@kieffer_jason naw my fam aint no bitch made niggas, gtf off my shit fuck nigga im not your fam oh friendly ass nigga",0
Currently being hit with the jig. Word.,0
I meant bitch niggas,0
He sound like a bitch,0
@lifeof_brandon bitch I called yu back,0
Every nigga tryna fuck the next nigga bitch but not knowing his bitch is the next nigga bitch,0
In yo bitch dm like.. http://t.co/OuJU8LaXr1,0
"I know Outback when I see Outback, hoe.",0
RT @SteveStfler: future bae best drink fiji water so her pussy taste like retweets &amp; cinammon apples,0
RT @iDntWearCondoms: I'm missing a few things I really need in my life: iPhone 6 iOS 8 ps4 some bitches and a new car.,0
RT @TuhhNaeee_x33: Meat Forevea selling a bitch out &#128514;&#128514;&#128514;&#128514;&#128553;,0
RT @salmeron_bryan: You're not the father ! What every Mexican/nigger loves to hear.,1
Don't blame me blame ya bitch can't help she want a nigga,0
Why black girls gotta be thots? Ain't nobody bringing up the fat white hoe you fucked back in middle school. #LoveOurWomen,0
"Exes swear they can do better, then you see their next bitch ..... &#128514;&#128514;&#128514;&#128553;&#128553;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;",0
&#8220;@BINDLE13: My momma aint raise no hoe&#8221;,0
RT @Mr_JSmart24: So damn sick of that damn lie smfh&#8230;Skinny girls look like iphones when they jeans come off bitch stop lying!!,0
Pull up on my x make that bitch mad,0
http://t.co/ARKGfY02pT&#8221;girl cheeks gone be cold than a bitch,0
@reneeXOmarie yeah she didnt wana bring that pussy to us or tell us where he was so we could just go find one Mexican in this city full,0
Jihadis are running a claim that the King of #Saudi Arabia died two days ago. Must be the bombs falling on em that r making em hallucinate.,0
But they only talk on twitter bc pussies in real life,0
RT @OLDBROOKLYNJIM: Only in #Cleveland are #browns fans going to bitch about a blow out win this week. #Believeland #GoBrowns,0
@mel0_yell0w ain't that a bitch.,0
RT @Swizzzy: I know she a hoe if she believe in astrology.. Ima make a sign for that.,0
Hoes always tryna say they look like a celebrity .... NO BITCH!!! You like the other hoe that love on krenshaw sit yo basic ass down,0
Lmaoo RT @De_La_David: @JaeTips bruh make a song called uber and the hook can be that uber make that pussy wet,0
"I lost partners , bitches , money... But I never lost my mind",0
RT @ghettobird1er: Yo bitch givin me head while I watch Good Burger.,0
I stopped snapping on women and calling them bitches.,0
&#8220;@zooyorkinit: @whattheflocka lol love you ;)&#8221; little bitch,0
RT @trapgrampa: I fucked ur bitch after I got bingo,0
"RT @Unt_Unnnnn: Moment of truth, these hoes the truth",0
Early bird catches the worm &#128076;,0
"So I already don't fuck with dude, but I be nice. And I'm humoring him. but this bitch crossed a line.""First of motherfucking all...""",0
"I'm making a t-shirt. It says ""Ke$ha, the white trash slut I wish I was."" for teenage girls with shitty tasted in music.",0
@lilmenifee__ ah Lil bit bitch &#128526;&#128527;&#128514;&#128076;,0
&#8220;@liIdurk__: Females get irritated FAST &#128530;&#8221; fuck them hoes,0
@GrizzboAdams roid rage much faggot?,1
@ICBC_World214 @FreeBlizz_ICBC bitch bought her son some talking bout I had to get em before they sold out,0
"RT @taymaeGOTEM: Bitches tweets be like...""I wanna suck some dick &#127814;"" then be like...""&#9995; Chill it's just a song! "" bitch what song is&#8230;",0
@ThugMon3yy @ChandailBailey @SteeZeyFLOW @HunturPls it does. you and all your hipster friends are ugly as fuck... and yo pussies all stank,0
I want a slope job so I can get away from everything and be by myself for two weeks. I hate being around people unless they are my friends.,0
She like to argue so I sent dat bitch to law school,0
RT @666joselopez: @Victorasap_ your voice mail little bitch ass nigga http://t.co/n9dMDtvWts,0
There are 2 types of niggas in this world. Real niggas ... &amp; bitch niggas,0
"Ghetto ass bitches came in my job talm bout sum ""o yes u daddy down"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",0
RT @Swizzzy: Peeps are trash.. Marsh mellows in general are trash,0
@kieffer_jason u will see it on Saturday and if u don't show up then your a bitch made nigga pussy ass nigga,0
Watching the nigger movie Menace2society. Trying to learn more about the enemy. Good reconnaissance.,1
"&#8220;@IAmClatonBigsby: Bout to ride my horse, to come fuck yo bitch.&#8221;Ooh @ em tho",0
Got all the black bitches mad cuz my main bitch vanilla,0
Money can't buy you love so I don't pay for no pussy,0
RT @CaNdY_n_VoDkA: -You hoes ain't leaving a ain't shit nigga bc he's YO ain't shit nigga n you don't want the other hoe to win.,0
RT @xoxo_Geee: Chest tattoos on females are trash .,0
RT @MNYves: He's an idiot. RT @M00n_baby: miserable trash excuse for a man http://t.co/jtL7Uis2YM,0
WashPost Describes Charlie Crist's Bizarre Obsession With Fan Between Legs To Stop Sweat When Asked/Answering Questions! DoG,0
Jet lag a bitch,0
@tucsonchld lol you can only get in at Eden when you're 18. All the bitches there are fat...,0
"@kay_laa_laa I know, all the bitches love me&#128129;",0
"RT @SaveNoHoes: this nigga Kanye looking at his ice cream like ""hoe ass ice cream you aint as cold as Kanye"" http://t.co/Z3P8sXQtT3",0
@bitty_boop @Oreo cookies sound wonderful.,0
RT @Buckm00se: chava needs to stay in his lane and keep sending gyro to hell you dont want it with the big boys you dirt infest ass beaner,1
My bestfriend is the BIGGEST bitch I know. That's why we are best friends lol.,0
dealing with your bitch ass is so annoying,0
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Hairy | hairy pussy http://t.co/Ntg2b0qDmx",0
&#8220;@TheFunnyVine: Red Neck Ice Bucket Challenge &#128514; https://t.co/cAgp3nIofd&#8221; he must be from the SIP. #redneck,0
"if a bitch don't like me, somethin' wrong wit da bitch",0
RT @Adrian1_knowsu: @0124jessi lml se pasa de shunsha &#128536;&#128536;and no mi joda w ur bitch waaa &#128514;&#128514;,0
Mann are first game is 3 weeks from now can't wait - once a redskin always a redskin -,0
@Iemonaids done that spell check we know you meant fat liberal Dyke feminist Nazi bitches,1
RT @Tease: RT or you're a fag. http://t.co/4Ol82rdeqX,1
"I had a dream I was in 4th grade again with my class except as my current self and remember thinking ""you're crazy, you become a hoe, moron""",0
RT @darahkcarter: I don't have a key to my car that bitch foreign &#128080;,0
This bitch is tryna start shit at Denny's asking us if we took a picture of them lmfao BITCH WHUT,0
@253hippy Bc she's a cunt hoe bag,0
RT @Seinfeld2000: Uncle leo find iWatch in trash can http://t.co/T7GCSMCYLB,0
@CeleyNichole: @white_thunduh how come you never bring me food i dont have a car retard,0
Don't let the hoes lie to you!! http://t.co/hknkpJ8ugU,0
@Aram2432 I have class nig,0
I think these bitches tryna set me uuuuhhuuhhhhhp,0
&lt;-- nudes are trash,0
Chances make champions nicca ain't nothing stopping you!,0
"I know when Woods, Kofi and Big E were forming up, R.Truth was like ""Ain't that a bitch"" #FROhorsemen",0
I'm saying though!! &#128514;&#128514;&#128553;&#128553; RT @___bria: all my panties be vs. ion look like these bitches tho,0
@rikki_lovee @StephyRae7 @TheOneMiss_Luu @GabrielaAngela4 Lets hangout Monday nigs?,0
&#8220;@Erikaj00: I saw a girl scratch her private today.. What that mean?&#8221; Don't fuck her right in the pussy,0
"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",0
"how much you wanna bet that a anti-government ""black helicopter"" teabagger was behind the Boston Marathon explosions? @TwitchyTeam #p2 #tcot",0
These women ain't shit but hoes w/ tricks ; babygirl you different &#10084;&#65039;,0
You know random niggaz and bitches wish the worst on eachother... Just look at their tweets.,0
Happy this nigga nick old I only like red bones ass is watching this.,0
